h,k,p,sigma,data_size,distortion,time_find_min_moles,time_total
0.4,5,4,0.15,5000,0.106462148252257,12,2
0.4,5,4,0.25,5000,0.163348466617458,47,6
0.4,5,4,0.15,1000,0.089513937808192,187,3
0.4,10,5,0.15,10000,0.115843718645036,33,5
0.4,10,5,0.15,10000,0.114625534850924,35,45
0.4,5,5,0.15,10000,0.115348357600127,34,43
0.4,30,4,0.15,100000,0.102220246044256,1151,1239
0.4,30,2,0.15,100000,0.0890383478680886,98,174
0.4,30,3,0.15,100000,0.0857895213920844,478,552
0.4,30,4,0.15,100000,0.09544863826777733,978,1061
0.4,30,5,0.15,100000,0.09880477423723781,1258,1361
0.4,30,6,0.15,100000,0.10348675055996619,2005,2099
0.4,30,7,0.15,100000,0.12558972878977362,4154,4258
