h,k,p,sigma,data_size,distortion,time_find_min_moles,time_total
0.4,30,2,0.15,100000,0.0890383478680886,98,174
0.4,30,3,0.15,100000,0.0857895213920844,478,552
0.4,30,4,0.15,100000,0.0954486382677773,978,1061
0.4,30,5,0.15,100000,0.0988047742372378,1258,1361
0.4,30,6,0.15,100000,0.103486750559966,2005,2099
0.4,30,7,0.15,100000,0.125589728789774,4154,4258
0.4,5,4,0.15,100000,0.10938347034862,2178,2278
0.4,10,4,0.15,100000,0.111346097860703,1860,1977
0.4,20,4,0.15,100000,0.105117097381724,1744,1852
0.4,30,4,0.15,100000,0.0891368201091426,748,843
0.4,40,4,0.15,100000,0.089766032480185,802,897
0.4,50,4,0.15,100000,0.117512480094089,1416,1510
0.4,30,4,0.05,100000,0.0236037961806405,16,41
0.4,30,4,0.1,100000,0.05325353546907,109,155
0.4,30,4,0.15,100000,0.106257860420396,1239,1319
0.4,30,4,0.2,100000,0.124958243982399,4296,4421
0.4,30,4,0.25,100000,0.187138666842402,11268,11459
0.4,30,2,0.15,100000,0.06680154838761805,64,109
0.4,30,2,0.15,100000,0.07848717348561687,69,113
0.4,50,4,0.15,100000,0.09745115966213416,1174,1186
0.4,5,4,0.15,100000,0.09804224560138386,1732,1742
0.4,10,4,0.15,100000,0.09293961606430692,676,684
0.4,30,4,0.15,100000,0.11261133991178403,1692,1703
0.4,40,4,0.15,100000,0.08716661780928553,485,495
0.4,50,4,0.15,100000,0.08845811912464742,526,535
0.4,5,4,0.15,100000,0.09267778090027362,1271,1279
0.4,10,4,0.15,100000,0.09267778090027362,1171,1186
0.4,20,4,0.15,100000,0.09267778090027362,1150,1159
0.4,30,4,0.15,100000,0.09267778090027362,1017,1026
0.4,40,4,0.15,100000,0.09267778090027362,886,894
0.4,50,4,0.15,100000,0.09458713240501784,752,764
0.4,5,4,0.15,100000,0.11125393794279369,2006,2016
0.4,10,4,0.15,100000,0.09748979107977843,1561,1570
0.4,20,4,0.15,100000,0.10251288534523484,1238,1248
0.4,30,4,0.15,100000,0.11642347810520219,2095,2107
0.4,40,4,0.15,100000,0.10441036968246742,902,911
0.4,50,4,0.15,100000,0.087588533488263,502,511
0.4,5,4,0.15,100000,0.10552689340026415,1000,1009
0.4,10,4,0.15,100000,0.10969226919684778,1181,1191
0.4,20,4,0.15,100000,0.11335947645086854,1895,1906
0.4,30,4,0.15,100000,0.10573999742962202,1549,1560
0.4,40,4,0.15,100000,0.09597786344021106,891,900
0.4,50,4,0.15,100000,0.1060301118013426,909,920
0.4,5,4,0.15,100000,0.11842928190759415,3255,3267
0.4,10,4,0.15,100000,0.08682650983826061,1074,1082
0.4,20,4,0.15,100000,0.12797401948790899,2842,2853
0.4,30,4,0.15,100000,0.09588822845155937,633,642
0.4,40,4,0.15,100000,0.09331810296005032,512,521
0.4,50,4,0.15,100000,0.11736780164761734,1470,1483
0.4,5,4,0.15,100000,0.11271814441938872,2647,2656
0.4,10,4,0.15,100000,0.11106027586872085,1979,1993
0.4,20,4,0.15,100000,0.10905623951680934,2722,2734
0.4,30,4,0.15,100000,0.10144812267722289,1525,1537
0.4,40,4,0.15,100000,0.08689695536455308,878,887
0.4,50,4,0.15,100000,0.0979902320586733,937,946
0.4,30,2,0.15,100000,0.07414757757024543,78,85
0.4,30,3,0.15,100000,0.11893780266011397,942,954
0.4,30,4,0.15,100000,0.09404881748725605,1726,1738
0.4,30,5,0.15,100000,0.09801396639369657,990,999
0.4,30,6,0.15,100000,0.08593445233148181,636,646
0.4,30,7,0.15,100000,0.10567333929721624,978,989
0.4,30,2,0.15,100000,0.0758349877932295,78,85
0.4,30,3,0.15,100000,0.0933110331581285,604,617
0.4,30,4,0.15,100000,0.11437677044883394,2089,2099
0.4,30,5,0.15,100000,0.12063632257183235,1574,1586
0.4,30,6,0.15,100000,0.12765714086605578,2968,2985
0.4,30,7,0.15,100000,0.09195994351228265,690,699
0.4,30,2,0.15,100000,0.09898025682065453,103,110
0.4,30,3,0.15,100000,0.11539658937605715,1105,1120
0.4,30,4,0.15,100000,0.12013007425564454,3973,3988
0.4,30,5,0.15,100000,0.08756227422398193,685,695
0.4,30,6,0.15,100000,0.11482999525060807,2070,2084
0.4,30,7,0.15,100000,0.11669036312775107,1570,1582
0.4,30,2,0.15,100000,0.07614605907778979,67,74
0.4,30,3,0.15,100000,0.09694137644498545,589,598
0.4,30,4,0.15,100000,0.10179631042187276,1243,1253
0.4,30,5,0.15,100000,0.09388797949353454,1022,1032
0.4,30,6,0.15,100000,0.1160361539570565,3064,3077
0.4,30,7,0.15,100000,0.10527642041789094,1263,1275
0.4,30,2,0.15,100000,0.10087950860836757,119,126
0.4,30,3,0.15,100000,0.11030102964090203,850,859
0.4,30,4,0.15,100000,0.11480525094388168,2534,2545
0.4,30,5,0.15,100000,0.1174985929831711,2502,2513
0.4,30,6,0.15,100000,0.1174985929831711,2508,2519
0.4,30,7,0.15,100000,0.1174985929831711,2484,2495
0.4,5,4,0.15,100000,0.08652831569291507,828,836
0.4,10,4,0.15,100000,0.08652831569291507,856,864
0.4,20,4,0.15,100000,0.08652831569291507,1013,1024
0.4,30,4,0.15,100000,0.08551102169494966,737,745
0.4,40,4,0.15,100000,0.08665380467702746,898,911
0.4,50,4,0.15,100000,0.08938072827544555,819,831
0.4,10,4,0.15,1000,0.0724564757975244,0,0
